Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0,000822	-0,487601	0,000822	1,67078
0,000824	2,50341	0,000824	4,0466
0,000826	4,53524	0,000826	4,88601
0,000828	4,83802	0,000828	3,86783
0,00083	3,28483	0,00083	1,38024
0,000832	0,479013	0,000832	-1,6275
0,000834	-2,5152	0,000834	-4,01778
0,000836	-4,57372	0,000836	-4,90001
0,000838	-4,92288	0,000838	-3,91342
0,00084	-3,40161	0,00084	-1,45518
0,000842	-0,616118	0,000842	1,55418
0,000844	2,39808	0,000844	3,9767
0,000846	4,48756	0,000846	4,88891
0,000848	4,85509	0,000848	3,94417
0,00085	3,3821	0,00085	1,49845
0,000852	0,602699	0,000852	-1,51187
0,000854	-2,40118	0,000854	-3,94757
0,000856	-4,51961	0,000856	-4,89904
0,000858	-4,94059	0,000858	-3,98912
0,00086	-3,49599	0,00086	-1,57178
0,000862	-0,74077	0,000862	1,4408
0,000864	2,27858	0,000864	3,90262
0,000866	4,43248	0,000866	4,89084
0,000868	4,88343	0,000868	4,01278
0,00087	3,46971	0,00087	1,61505
0,000872	0,726062	0,000872	-1,39591
0,000874	-2,29489	0,000874	-3,87445
0,000876	-4,4713	0,000876	-4,89647
0,000878	-4,9654	0,000878	-4,05933
0,00088	-3,58617	0,00088	-1,68322
0,000882	-0,859945	0,000882	1,32355
0,000884	2,17068	0,000884	3,82757
0,000886	4,38159	0,000886	4,88633
0,000888	4,90276	0,000888	4,08493
0,00089	3,55765	0,00089	1,72747
0,000892	0,850392	0,000892	-1,2777
0,000894	-2,18247	0,000894	-3,79876
0,000896	-4,4072	0,000896	-4,8868
0,000898	-4,98021	0,000898	-4,12472
0,0009	-3,66895	0,0009	-1,80015
0,000902	-0,983631	0,000902	1,20406
0,000904	2,06116	0,000904	3,75284
0,000906	4,30976	0,000906	4,87667
0,000908	4,91725	0,000908	4,14903
0,00091	3,64462	0,00091	1,84375
0,000912	0,971823	0,000912	-1,16046
0,000914	-2,07264	0,000914	-3,72178
0,000916	-4,34471	0,000916	-4,88229
0,000918	-5,00373	0,000918	-4,19043
0,00092	-3,75463	0,00092	-1,91352
0,000922	-1,10989	0,000922	1,08585
0,000924	1,94746	0,000924	3,67103
0,000926	4,25049	0,000926	4,86862
0,000928	4,92982	0,000928	4,21313
0,00093	3,72063	0,00093	1,95777
0,000932	1,09422	0,000932	-1,04193
0,000934	-1,9583	0,000934	-3,64028
0,000936	-4,29157	0,000936	-4,86941
0,000938	-5,01242	0,000938	-4,25485
0,00094	-3,84256	0,00094	-2,02755
0,000942	-1,22456	0,000942	0,96828
0,000944	1,82861	0,000944	3,58889
0,000946	4,18736	0,000946	4,85412
0,000948	4,94173	0,000948	4,27401
0,00095	3,80438	0,00095	2,07018
0,000952	1,21533	0,000952	-0,921788
0,000954	-1,84556	0,000954	-3,55815
0,000956	-4,21974	0,000956	-4,85234
0,000958	-5,01371	0,000958	-4,31186
0,00096	-3,916	0,00096	-2,13545
0,000962	-1,34438	0,000962	0,844272
0,000964	1,71265	0,000964	3,50418
0,000966	4,12133	0,000966	4,83769
0,000968	4,95011	0,000968	4,33166
0,00097	3,88136	0,00097	2,17776
0,000972	1,33547	0,000972	-0,801646
0,000974	-1,72606	0,000974	-3,47215
0,000976	-4,15017	0,000976	-4,83462
0,000978	-5,02209	0,000978	-4,36951
0,00098	-3,99395	0,00098	-2,24722
0,000982	-1,46581	0,000982	0,722197
0,000984	1,59347	0,000984	3,41882
0,000986	4,04821	0,000986	4,82127
0,000988	4,95591	0,000988	4,38513
0,00099	3,96124	0,00099	2,28792
0,000992	1,45562	0,000992	-0,681504
0,000994	-1,60818	0,000994	-3,38583
0,000996	-4,08059	0,000996	-4,81369
0,000998	-5,02176	0,000998	-4,42491
0,001	-4,06964	0,001	-2,35576
0,001002	-1,58756	0,001002	0,60141
0,001004	1,48267	0,001004	3,33089
0,001006	3,97187	0,001006	4,79679
0,001008	4,95269	0,001008	4,43828
0,00101	4,03307	0,00101	2,39776
0,001012	1,57801	0,001012	-0,558141
0,001014	-1,48836	0,001014	-3,29306
0,001016	-4,00554	0,001016	-4,79404
0,001018	-5,015	0,001018	-4,47774
